"Action","Action"
"Add Method","Add Method"
"An error occurred while updating the methods.","An error occurred while updating the methods."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find method to delete.","Could not find method to delete."
"Created at","Created at"
"Delete Method","Delete Method"
"Delete","Delete"
"Disabled","Disabled"
"Edit Method '%s'","Edit Method '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving method","Error saving method"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Method Identifier","Method Identifier"
"Method Name","Method Name"
"Method was saved","Method was saved"
"Method was successfully deleted.","Method was successfully deleted."
"Method was successfully saved","Method was successfully saved"
"Method","Method"
"Methods","Methods"
"No","No"
"None","None"
"Please enter a appropriate method name to identify","Please enter a appropriate method name to identify"
"Please select methods to delete.","Please select methods to delete."
"Please select methods.","Please select methods."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Method","Save Method"
"Status","Status"
"Store views","Store views"
"The methods has been deleted.","The methods has been deleted."
"There was a problem saving the method.","There was a problem saving the method."
"There was an error deleting method.","There was an error deleting method."
"There was an error deleting methods.","There was an error deleting methods."
"There was an error updating methods.","There was an error updating methods."
"This method no longer exists.","This method no longer exists."
"Total of %d methods were successfully deleted.","Total of %d methods were successfully deleted."
"Total of %d methods were successfully updated.","Total of %d methods were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find method to save.","Unable to find method to save."
"Updated at","Updated at"
"Use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"